WKT,NOME_MUNIC,PTCOTA,GEOCODIGO
"MULTIPOINT (-42.126430576108781 -18.117855181397388)",Água Boa,875,3100609
"MULTIPOINT (-42.194638638838427 -18.042730828343096)",Água Boa,680,3100609
"MULTIPOINT (-42.321905532460022 -18.053841802569803)",Água Boa,590,3100609
"MULTIPOINT (-43.370667307383997 -17.783914086585046)",Diamantina,1023,3121605
"MULTIPOINT (-42.705535804513119 -18.13723252053893)",Frei Lagonegro,920,3126950
"MULTIPOINT (-42.635497488101919 -17.728057155905791)",Itamarandiba,887,3132503
"MULTIPOINT (-42.749823162447633 -18.016002695022728)",Itamarandiba,1658,3132503
"MULTIPOINT (-42.807541137383495 -17.849031131578769)",Itamarandiba,1076,3132503
"MULTIPOINT (-42.926836937000289 -18.021081130341329)",Itamarandiba,1382,3132503
"MULTIPOINT (-43.051850530347366 -18.072996063249569)",Itamarandiba,1618,3132503
"MULTIPOINT (-43.145987669136737 -18.324520324675188)",Rio Vermelho,940,3156007
"MULTIPOINT (-42.415864084526959 -18.070199577915396)",Santa Maria do Suaçuí,717,3158201
"MULTIPOINT (-42.364699642271184 -18.181673382692523)",Santa Maria do Suaçuí,760,3158201
"MULTIPOINT (-42.304982821546865 -18.303325496569176)",Santa Maria do Suaçuí,935,3158201
"MULTIPOINT (-42.101333068062054 -18.324933828222917)",São José da Safira,545,3163003
"MULTIPOINT (-43.259191663019308 -17.952574057808992)",Senador Modestino Gonçalves,841,3165909
"MULTIPOINT (-51.04440180803099 -21.574894565180461)",Adamantina,437,3500105
"MULTIPOINT (-51.060333037246735 -21.706650736386091)",Adamantina,478,3500105
"MULTIPOINT (-48.812267283698631 -24.517924559683031)",Apiaí,1161,3502705
"MULTIPOINT (-48.697137143663518 -24.391001376117142)",Apiaí,1089,3502705
"MULTIPOINT (-49.185791733628825 -24.389423003968346)",Barra do Chapéu,1334,3505351
"MULTIPOINT (-51.186901520984904 -21.980111653535793)",Caiabu,505,3508900
"MULTIPOINT (-52.069849333857718 -21.990735478358513)",Caiuá,446,3509106
"MULTIPOINT (-51.964178489850255 -21.903277904493656)",Caiuá,442,3509106
"MULTIPOINT (-51.908345896667633 -21.657114957831766)",Caiuá,382,3509106
"MULTIPOINT (-48.154928835954294 -25.152234741502138)",Cananéia,1090,3509908
"MULTIPOINT (-47.849598090718651 -24.842899887925444)",Cananéia,692,3509908
"MULTIPOINT (-51.516391883239564 -20.967454672027721)",Castilho,352,3511003
"MULTIPOINT (-51.54477896391176 -21.601766101056189)",Dracena,409,3514403
"MULTIPOINT (-51.53823443869355 -21.480346690276534)",Dracena,417,3514403
"MULTIPOINT (-52.705714599884104 -22.528199747017901)",Euclides da Cunha Paulista,392,3515350
"MULTIPOINT (-51.325948208121254 -21.662581191921674)",Flora Rica,415,3515806
"MULTIPOINT (-51.17041716079892 -21.486474996028843)",Flórida Paulista,425,3516002
"MULTIPOINT (-51.327917564014797 -21.119016884697103)",Guaraçaí,425,3517802
"MULTIPOINT (-51.231905147823952 -21.00525688644117)",Guaraçaí,457,3517802
"MULTIPOINT (-51.166871013947997 -20.981396115697258)",Guaraçaí,445,3517802
"MULTIPOINT (-47.319350454517959 -24.405659303394984)",Iguape,1132,3520301
"MULTIPOINT (-47.259260976360949 -24.530281072027883)",Iguape,870,3520301
"MULTIPOINT (-47.514415788409863 -24.669021944596132)",Iguape,490,3520301
"MULTIPOINT (-51.367818206853009 -21.367497489561035)",Junqueirópolis,405,3526001
"MULTIPOINT (-51.141602899785916 -21.788625420411247)",Mariápolis,439,3528908
"MULTIPOINT (-51.141602899785916 -21.788625420411247)",Mariápolis,439,3528908
